Unnamed: 0,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
2022,202022,56,1,1,15,3,1,2,3,4,3,1,1,0,4,0,0,0,26103
385,200385,30,0,1,10,1,1,2,3,0,3,2,19,1,4,1,1,1,17285
1386,201386,26,1,1,6,3,1,3,3,0,5,2,1,0,5,1,2,1,17867
2060,202060,33,1,1,13,3,1,2,3,3,3,1,1,0,4,1,0,3,26691
1946,201946,24,1,1,23,2,1,3,4,0,4,1,2,0,3,1,1,1,17127
3768,203768,30,1,1,36,2,1,4,6,1,3,1,2,0,5,1,3,2,25062
1253,201253,33,0,3,8,3,0,3,3,1,4,2,1,0,1,0,0,2,20147
2230,202230,53,0,3,8,3,0,2,4,3,4,1,3,0,1,1,0,3,22525
3514,203514,29,0,3,14,2,1,3,4,1,5,3,2,0,3,1,2,2,23576
1372,201372,39,1,1,15,3,1,2,3,1,5,1,2,0,4,1,0,2,20151
4366,204366,46,1,3,9,2,1,4,4,1,4,1,2,0,5,1,3,2,23483
2466,202466,35,1,1,14,2,0,3,4,3,4,2,2,0,3,1,1,3,30672
4073,204073,35,0,3,9,3,0,4,4,0,3,1,8,0,5,0,1,1,20909
4596,204596,33,0,1,7,2,0,4,5,0,4,1,8,0,3,0,3,1,21010
2373,202373,29,0,1,16,2,0,2,4,0,3,3,2,0,4,1,0,1,21623
1916,201916,41,0,3,16,2,1,2,3,1,3,2,1,0,1,0,1,2,21230
3268,203268,43,1,1,36,3,1,3,6,1,3,3,6,0,3,1,1,2,22950
4329,204329,35,0,3,13,3,0,3,6,0,3,1,2,0,4,0,2,1,21029
1685,201685,41,1,3,12,2,0,3,3,3,3,2,4,1,1,0,0,3,28591
694,200694,33,1,1,6,2,0,2,4,1,3,3,1,0,4,0,0,2,21949
837,200837,40,0,1,15,3,0,2,3,3,3,3,1,0,4,0,0,3,28499
1852,201852,26,0,1,9,1,1,3,3,0,5,2,1,0,3,0,1,1,18102
1712,201712,41,1,1,25,2,1,2,3,1,5,1,3,0,1,0,0,2,18072
222,200222,37,0,1,17,2,1,2,3,3,3,1,2,1,3,0,1,3,27185
2145,202145,31,1,3,13,2,1,2,4,0,3,1,4,0,4,1,1,1,17329
4867,204867,45,1,3,8,2,1,3,6,1,4,2,8,0,3,0,2,2,21040
514,200514,33,0,1,9,2,1,3,3,0,5,2,2,1,5,1,2,1,18348
2795,202795,33,1,1,9,3,0,4,4,0,4,0,3,0,4,0,1,1,21048
1074,201074,33,1,1,14,2,1,3,3,1,3,3,3,1,3,0,2,2,21388
402,200402,30,1,3,18,1,0,2,3,1,3,3,1,0,2,1,0,2,21577
547,200547,42,0,1,25,3,1,2,2,0,3,1,7,1,3,1,1,1,17759
1899,201899,46,1,1,8,2,1,2,3,4,3,1,7,0,5,1,0,0,32861
4656,204656,51,1,1,16,2,1,4,4,0,3,1,6,0,5,1,3,1,21058
1880,201880,30,1,1,8,2,0,2,5,1,3,2,3,0,1,1,0,2,21091
2742,202742,37,0,1,25,2,1,3,3,0,3,0,6,0,5,0,1,1,22366
1323,201323,28,0,2,6,2,1,2,3,0,3,1,2,0,4,0,1,1,17706
1357,201357,42,1,1,12,3,1,2,3,3,5,1,1,0,3,1,0,3,28348
617,200617,44,1,1,10,3,1,2,3,1,4,2,1,0,2,1,0,2,20933
3637,203637,39,0,1,9,3,0,3,5,0,4,2,3,0,1,1,1,1,21118
253,200253,42,1,1,23,2,0,2,2,1,5,3,4,1,2,0,0,2,21545
2223,202223,39,0,1,28,3,0,2,3,3,5,3,2,1,5,1,1,3,25880
944,200944,28,0,1,6,2,0,2,5,1,3,0,1,0,3,1,0,2,21674
2079,202079,43,1,1,20,2,1,3,3,4,5,1,7,0,5,1,1,0,32159
3372,203372,45,1,1,22,3,0,4,4,3,3,0,3,0,3,0,2,3,26656
4382,204382,53,1,1,13,1,1,4,4,1,5,1,5,1,4,1,2,2,24255
4062,204062,42,1,1,16,2,1,4,4,0,5,1,4,0,1,0,1,1,20916
9,200009,36,1,1,33,3,1,3,3,1,3,0,7,0,3,1,0,2,20237
3259,203259,22,1,1,7,1,0,4,5,0,4,2,3,1,5,0,3,1,20748
2664,202664,37,1,1,12,2,1,4,4,1,4,3,2,0,2,0,3,2,24592
3501,203501,30,0,3,20,1,0,3,4,1,4,3,7,0,3,0,2,2,24443
3967,203967,36,0,1,18,3,1,4,5,3,5,1,4,1,5,1,3,3,28562
186,200186,40,1,1,10,3,0,2,3,2,3,0,2,0,5,0,1,4,34033
136,200136,51,0,1,14,2,1,2,5,3,3,3,3,0,2,0,1,3,25650
3835,203835,39,1,3,7,2,1,3,5,0,5,3,6,0,3,0,2,1,21536
390,200390,43,1,1,18,2,1,2,4,4,4,1,2,0,3,0,1,0,29336
40,200040,35,1,1,10,2,1,3,3,0,3,1,2,0,4,0,0,1,16951
2695,202695,40,0,1,9,1,0,4,4,3,3,2,2,0,2,1,2,3,29616
3753,203753,27,1,3,17,3,1,3,4,1,3,3,3,0,1,0,1,2,23362
762,200762,26,0,1,8,2,1,2,3,0,5,0,7,1,5,1,0,1,17042
119,200119,43,0,3,32,2,1,3,3,4,3,0,2,1,2,0,0,0,31959
3339,203339,32,1,1,18,3,1,4,4,1,5,0,3,1,2,0,3,2,25511
2560,202560,35,1,1,12,3,0,3,5,3,5,2,4,0,2,0,1,3,30309
4135,204135,34,1,1,11,3,0,3,5,0,4,1,8,0,4,0,2,1,21300
1016,201016,31,1,1,14,2,0,2,4,0,4,2,2,0,4,0,1,1,16261
4748,204748,35,1,3,16,2,0,4,4,1,3,1,3,0,1,0,1,2,24392
4865,204865,42,0,3,16,2,1,3,6,4,3,1,2,0,5,1,2,0,24829
2030,202030,34,1,1,14,2,0,2,3,1,5,1,4,0,5,1,1,2,20121
2680,202680,34,1,1,9,2,0,3,4,0,5,0,2,0,3,1,1,1,21385
22,200022,34,1,1,13,2,0,2,3,3,4,3,1,0,3,1,0,3,26994
2643,202643,39,1,1,36,1,1,3,4,1,3,0,5,0,2,0,2,2,24939
3965,203965,29,1,1,12,1,1,3,4,0,3,3,3,1,1,0,1,1,22119
1288,201288,35,0,1,8,3,1,2,3,1,3,1,3,0,3,0,1,2,20762
293,200293,26,1,3,10,3,1,2,4,1,3,2,2,1,2,1,1,2,20828
2562,202562,37,1,1,10,2,0,3,4,0,3,1,7,0,2,1,1,1,21513
3734,203734,35,0,1,16,2,1,4,4,1,5,1,6,0,3,0,2,2,24024
4727,204727,40,0,1,9,2,1,3,4,4,3,1,2,0,3,1,1,0,30847
363,200363,33,1,3,11,3,0,2,3,0,3,2,2,1,2,1,0,1,17851
642,200642,38,1,3,15,3,1,3,4,0,4,0,1,0,4,0,0,1,17899
4794,204794,33,0,1,20,2,0,4,5,0,4,1,3,0,5,1,1,1,21421
589,200589,29,1,1,6,2,0,2,4,0,5,0,2,1,2,0,0,1,17319
4504,204504,34,1,1,14,3,1,3,4,3,3,1,2,0,4,1,1,3,30369
3314,203314,36,1,3,24,2,1,4,4,1,5,0,5,1,3,1,2,2,27644
86,200086,23,1,3,8,1,1,3,3,0,5,1,4,0,3,1,1,1,17322
2855,202855,61,1,1,14,2,0,3,4,2,5,0,7,0,5,0,1,4,38244
2384,202384,55,0,3,8,2,0,2,4,0,3,2,1,0,5,0,0,1,28577
2871,202871,61,0,3,35,3,0,4,5,3,5,0,6,0,2,1,1,3,28944
4245,204245,28,0,3,7,3,1,4,4,1,4,1,2,1,1,0,2,2,25027
1536,201536,36,0,1,17,2,1,3,4,1,4,3,2,0,4,1,1,2,21499
2902,202902,41,0,3,35,2,1,3,6,3,5,1,5,0,5,1,1,3,29610
2766,202766,33,1,1,9,3,0,4,3,1,3,3,2,0,3,1,3,2,23733
1455,201455,40,1,1,8,2,1,2,4,0,3,2,3,0,5,0,1,1,17809
2863,202863,31,0,1,10,2,1,3,4,0,3,0,6,0,3,0,2,1,20775
4595,204595,39,1,1,7,1,0,4,4,3,5,1,3,0,4,1,2,3,32260
2250,202250,28,0,1,30,1,1,3,4,3,5,3,2,0,1,1,1,3,23722
3516,203516,30,0,1,9,2,0,4,4,0,4,0,2,0,5,0,3,1,21858
627,200627,52,0,1,31,3,0,2,4,4,3,0,4,0,5,0,1,0,28826
2814,202814,22,1,3,19,2,0,3,3,0,4,3,3,0,5,0,2,1,21394
1809,201809,27,1,3,14,3,0,2,3,1,4,1,2,0,1,0,1,2,21214
4771,204771,45,1,1,17,2,1,4,4,0,3,3,3,1,3,1,1,1,21614
2412,202412,36,1,3,16,3,1,2,4,3,5,1,1,0,5,0,0,3,22094
333,200333,43,1,1,13,2,0,2,3,3,5,0,1,0,5,1,0,3,24985
927,200927,36,1,1,8,2,0,2,3,1,4,2,1,1,3,1,0,2,20410
187,200187,55,1,1,20,3,1,3,2,2,4,2,1,0,2,0,2,4,33722
1354,201354,56,1,1,30,2,1,3,3,0,3,2,2,0,3,0,0,1,17587
281,200281,42,1,3,6,2,1,2,3,1,3,0,2,0,3,1,0,2,19907
2053,202053,34,1,3,14,2,0,3,3,1,5,1,6,0,1,1,2,2,21500
1557,201557,51,1,1,15,2,1,3,3,0,3,1,4,0,3,1,0,1,17075
2581,202581,40,1,3,11,2,0,3,5,1,3,0,6,0,5,1,1,2,24580
3014,203014,53,0,1,26,3,1,3,4,0,3,0,2,0,3,1,1,1,22936
2573,202573,50,1,1,27,3,0,4,4,1,5,0,3,0,2,1,3,2,25245
540,200540,28,1,1,6,2,0,3,5,0,4,2,1,1,2,1,0,1,17216
3072,203072,38,1,3,23,3,1,4,5,1,3,1,6,0,5,1,3,2,25012
1599,201599,49,1,1,26,3,0,3,3,1,5,1,2,0,1,1,0,2,21567
3449,203449,30,1,2,24,2,1,3,5,3,5,3,3,0,3,0,1,3,26666
16,200016,32,1,1,11,2,1,3,2,0,4,1,1,1,2,1,0,1,18298
3025,203025,31,1,1,7,2,1,3,6,0,3,0,5,0,4,1,1,1,22511
4590,204590,36,1,1,28,2,0,3,4,1,3,1,3,1,3,0,1,2,22692
457,200457,18,0,3,11,3,1,3,3,0,4,2,2,1,4,1,2,1,16878
1726,201726,42,1,1,8,3,0,2,4,0,5,1,1,1,4,1,1,1,17593
4294,204294,25,1,3,17,3,0,4,4,1,3,1,3,1,1,0,1,2,22938
1308,201308,38,1,3,8,3,0,3,5,1,3,1,3,1,3,0,0,2,20405
3237,203237,29,1,1,22,2,1,3,4,0,3,1,3,0,4,1,2,1,20885
4318,204318,29,1,1,24,3,1,4,4,1,5,1,3,0,1,0,2,2,23236
1485,201485,29,1,1,27,2,0,2,1,3,5,1,2,0,5,1,1,3,24980
1784,201784,39,1,1,16,3,1,3,3,4,5,1,2,1,3,1,2,0,32068
1799,201799,47,1,1,11,2,1,2,3,2,3,1,5,0,1,1,0,4,33300
2980,202980,61,1,3,23,3,1,3,4,1,5,3,2,0,4,1,1,2,24083
3893,203893,33,1,1,9,1,1,4,4,0,5,2,3,0,1,1,2,1,21117
2045,202045,54,1,1,25,3,0,3,3,1,5,1,1,1,3,0,2,2,20485
2309,202309,42,1,3,10,3,1,2,3,1,5,2,1,0,5,1,0,2,20155
2788,202788,36,1,1,12,1,1,4,4,3,4,3,2,0,3,0,1,3,26773
583,200583,34,1,3,14,2,0,3,3,1,5,0,6,0,2,1,0,2,21500
2486,202486,27,1,1,32,2,1,3,6,0,3,2,3,0,2,1,2,1,20971
1499,201499,46,1,3,8,3,0,2,3,2,5,2,4,0,1,1,1,4,33947
3851,203851,25,1,1,7,2,1,3,5,1,3,3,3,0,3,1,2,2,23295
3852,203852,24,1,1,19,2,1,4,4,0,3,3,3,0,5,1,1,1,21325
1333,201333,46,1,3,16,2,0,3,3,3,4,1,6,0,1,0,2,3,22314
2392,202392,44,1,3,15,2,1,3,4,0,5,1,4,0,1,1,2,1,34190
709,200709,31,0,1,15,3,1,2,4,0,5,2,1,1,3,1,0,1,17321
366,200366,41,0,3,10,3,1,2,3,1,4,3,2,0,3,1,0,2,24355
4367,204367,27,0,2,24,2,0,3,4,0,3,1,2,1,5,0,2,1,21419
1522,201522,44,1,3,6,3,0,3,3,1,5,1,6,1,1,1,1,2,20454
3066,203066,33,1,3,20,2,1,4,4,1,3,1,4,0,2,0,1,2,23081
464,200464,37,1,1,6,1,0,2,3,3,3,3,5,0,5,1,1,3,22491
1213,201213,23,1,3,13,2,1,2,3,0,3,1,2,1,1,1,0,1,17275
3393,203393,40,1,1,25,2,1,3,4,1,3,3,2,0,3,0,1,2,23212
3504,203504,25,0,1,16,3,1,3,4,0,5,3,4,1,3,0,2,1,21850
386,200386,37,1,1,20,2,0,3,3,0,5,1,2,0,4,1,0,1,18034
163,200163,57,1,1,30,2,1,2,2,3,3,1,4,1,4,1,1,3,24439
1994,201994,34,1,1,15,3,0,2,4,3,4,3,2,0,1,1,0,3,23621
909,200909,19,1,1,31,2,0,2,1,0,3,2,2,1,5,1,0,1,17994
1316,201316,43,0,3,8,2,1,3,3,1,3,1,2,0,3,1,2,2,20675
3505,203505,25,0,3,20,2,0,4,4,0,4,0,3,0,1,0,1,1,20711
3618,203618,26,0,1,9,2,1,4,2,1,3,1,3,0,1,0,2,2,23884
809,200809,28,1,1,9,3,0,3,3,3,4,1,1,0,4,0,0,3,22655
2918,202918,25,1,1,30,3,1,3,3,0,3,0,3,1,4,0,2,1,21403
4172,204172,52,1,1,7,2,1,4,4,0,3,1,3,0,4,1,1,1,21401
3913,203913,35,1,1,15,3,1,3,2,1,3,1,4,0,3,0,2,2,23082
3107,203107,22,1,1,25,2,0,4,4,0,3,3,3,0,3,1,2,1,21371
3523,203523,40,1,1,13,2,0,3,4,3,4,3,6,0,3,0,2,3,27054
3076,203076,43,0,1,9,3,1,3,4,0,3,2,7,1,2,0,2,1,21193
3303,203303,30,1,1,22,2,0,4,6,0,3,0,2,1,5,1,1,1,20846
1024,201024,47,1,1,8,3,0,2,3,4,3,0,4,0,5,1,0,0,32169
3051,203051,50,1,3,18,3,0,3,4,3,3,0,3,0,4,0,2,3,26332
3394,203394,32,0,3,9,2,0,3,4,3,3,1,3,1,1,1,1,3,28530
2943,202943,34,1,3,15,3,1,3,4,1,3,1,2,0,2,1,2,2,25782
3045,203045,41,0,1,23,3,1,3,5,1,3,3,8,0,5,1,2,2,23772
1338,201338,30,1,3,15,3,1,2,3,0,3,2,2,0,5,0,0,1,16081
4859,204859,51,0,3,19,2,1,3,4,1,3,2,5,1,3,1,2,2,35558
1369,201369,28,1,3,19,3,0,2,3,1,3,3,4,1,5,1,1,2,24854
3941,203941,43,1,3,15,3,1,3,4,1,4,1,2,0,3,1,1,2,25503
4722,204722,30,1,1,35,2,0,4,4,0,3,1,6,0,5,1,1,1,21192
3044,203044,33,1,1,11,2,0,4,5,1,3,0,3,0,4,1,1,2,24840
4538,204538,54,1,3,14,3,0,4,5,3,3,1,2,1,1,0,2,3,29612
2111,202111,32,0,3,11,2,1,2,3,1,4,1,2,0,3,1,1,2,21524
3895,203895,39,1,3,17,2,0,4,4,1,3,1,3,0,4,0,3,2,24021
4856,204856,37,1,3,17,3,1,3,5,3,5,1,2,0,5,0,1,3,25772
2789,202789,24,1,1,33,2,1,3,4,0,3,1,3,0,2,1,2,1,21582
3264,203264,36,0,3,18,3,1,3,4,1,3,1,3,0,5,0,1,2,23646
1199,201199,36,1,1,32,2,1,3,3,1,3,1,7,0,3,1,0,2,20347
39,200039,33,0,3,6,2,0,2,2,1,5,0,3,0,3,1,0,2,20376
2891,202891,36,1,3,7,3,1,3,4,1,3,0,2,0,3,1,1,2,23395
1695,201695,59,1,1,9,2,1,3,4,0,3,1,4,0,3,0,0,1,17177
3905,203905,51,1,3,35,3,1,3,5,3,5,1,6,1,5,0,1,3,29532
2507,202507,60,1,3,32,2,0,3,4,3,5,3,2,0,3,1,1,3,26315
2857,202857,43,0,1,35,1,0,3,5,1,3,0,2,0,3,0,1,2,23201
2839,202839,44,0,1,28,3,1,4,4,0,3,0,2,0,4,0,3,1,20936
3194,203194,45,1,3,35,3,0,3,2,4,3,0,5,1,2,1,2,0,31998
2848,202848,29,1,1,24,3,1,4,4,1,5,1,3,0,2,0,1,2,23236
4393,204393,25,0,1,14,2,0,3,4,0,3,1,3,1,4,0,1,1,21564
3168,203168,25,1,1,24,3,0,3,5,1,3,1,3,0,3,1,2,2,23055
2054,202054,42,0,1,14,2,1,3,3,2,3,1,2,0,5,1,1,4,33430
1266,201266,41,1,1,15,2,1,3,3,0,5,1,2,0,5,1,1,1,17289
4857,204857,47,1,3,22,3,1,3,6,1,3,1,8,1,1,0,2,2,22101
1043,201043,53,1,1,8,3,1,2,1,4,4,2,5,0,1,1,0,0,31598
1767,201767,35,1,3,22,3,1,3,3,3,4,1,1,0,1,1,1,3,23020
379,200379,55,1,1,8,2,0,3,3,4,3,2,3,1,5,0,1,0,31659
3925,203925,30,1,1,22,2,0,3,5,1,3,3,2,1,1,1,2,2,22871
410,200410,30,1,1,8,2,0,2,5,1,3,2,3,0,2,0,1,2,21091
1321,201321,47,1,1,15,2,0,3,3,0,3,2,5,0,3,1,0,1,17105
859,200859,29,1,1,21,2,0,3,5,0,3,0,1,1,5,1,0,1,17168
668,200668,28,1,1,15,3,0,3,3,0,3,1,6,0,3,1,1,1,17377
2382,202382,26,1,1,13,3,0,2,4,3,5,1,1,1,4,1,1,3,17875
1540,201540,59,0,3,6,2,0,2,4,1,3,2,1,0,5,1,0,2,20473
2273,202273,34,0,1,9,2,1,2,4,0,3,1,4,0,1,0,0,1,17979
3204,203204,54,0,3,9,3,0,3,5,3,4,0,4,0,2,0,2,3,26203
1963,201963,44,1,2,6,2,0,2,4,1,3,2,5,0,5,1,1,2,20985
3335,203335,45,1,1,9,2,0,4,2,0,3,0,3,0,4,1,1,1,20689
2653,202653,47,1,1,7,3,1,4,4,3,5,1,2,0,2,0,1,3,28074
4776,204776,45,0,1,24,2,1,4,6,0,3,2,4,0,4,1,2,1,20968
3826,203826,32,0,1,10,3,1,3,4,0,5,1,3,1,1,0,1,1,21743
3754,203754,59,0,1,22,2,1,3,4,4,3,1,4,1,1,1,1,0,34465
1657,201657,55,1,1,20,3,1,3,1,2,4,2,1,0,1,1,1,4,33722
4629,204629,34,0,1,7,2,0,3,2,1,4,1,3,1,3,1,1,2,24166
3842,203842,34,0,1,14,2,1,3,4,1,3,1,3,0,5,1,2,2,24646
2066,202066,35,1,1,6,2,0,2,1,0,3,2,4,0,3,1,1,1,17506
2377,202377,44,1,1,29,3,1,3,3,0,5,2,1,0,3,0,2,1,33213
4739,204739,30,1,1,15,3,1,4,5,1,3,1,3,1,3,1,2,2,23734
1451,201451,38,1,3,16,2,0,3,3,1,3,1,2,0,4,0,2,2,20343
3838,203838,33,1,1,12,2,1,3,5,1,3,3,2,0,1,0,2,2,28357
1005,201005,29,1,2,23,2,1,2,4,3,5,3,2,0,3,0,0,3,22988
1925,201925,33,1,1,6,3,0,3,1,4,3,1,5,0,1,1,0,0,31184
891,200891,44,1,1,8,2,0,3,1,0,3,0,2,0,4,1,0,1,17011
3069,203069,46,1,3,16,3,1,4,4,3,5,1,6,1,2,1,1,3,29439
2385,202385,21,0,3,24,3,0,3,3,1,3,1,1,1,5,0,1,2,17625
3232,203232,29,1,1,17,2,0,3,4,1,3,3,5,0,4,1,2,2,22338
2349,202349,60,1,3,13,3,1,2,1,1,3,1,1,1,5,0,0,2,20220
2016,202016,29,1,3,16,2,1,3,3,0,3,2,2,0,4,1,0,1,17642
747,200747,38,1,3,9,2,1,2,3,1,3,3,1,1,3,1,1,2,21861
56,200056,35,0,3,24,2,1,3,3,3,5,0,2,0,4,1,0,3,24069
4755,204755,25,1,1,31,3,1,3,4,0,4,3,2,0,5,0,2,1,22275
3352,203352,34,1,3,17,3,1,3,2,3,3,1,2,1,4,1,2,3,27058
4440,204440,40,1,1,9,1,0,4,5,1,3,3,3,0,1,1,2,2,23231
53,200053,35,0,1,17,3,1,3,4,3,5,0,3,1,5,1,1,3,24884
753,200753,39,0,1,28,3,0,2,3,3,5,3,2,1,5,1,0,3,25880
1548,201548,37,1,1,13,3,1,1,3,3,3,2,5,0,1,0,0,3,28664
1613,201613,30,1,1,24,2,0,3,3,0,3,2,2,0,1,1,2,1,17632
3554,203554,36,1,1,9,2,0,4,4,0,5,1,3,1,1,1,2,1,20752
3439,203439,44,1,1,13,3,0,4,5,1,3,3,3,1,4,1,2,2,22759
610,200610,27,1,1,11,1,1,2,4,3,3,1,2,1,3,0,0,3,27808
4864,204864,32,1,2,29,2,1,3,6,0,3,1,3,0,1,0,2,1,28530
501,200501,30,0,1,9,3,0,3,3,0,3,1,2,0,3,1,1,1,17083
307,200307,38,1,1,31,2,0,2,4,3,4,0,4,0,3,1,0,3,27061
3001,203001,36,0,1,9,2,0,4,4,1,5,1,4,0,4,0,1,2,23771
4038,204038,32,1,3,13,2,1,4,6,1,3,1,6,1,3,0,3,2,24850
1560,201560,40,0,1,6,2,1,3,4,4,4,1,2,0,1,1,1,0,28503
1733,201733,46,1,3,8,1,0,3,5,4,4,1,4,1,5,1,0,0,31872
852,200852,29,1,1,12,3,0,2,3,0,3,0,2,0,3,0,0,1,18131
3010,203010,48,0,3,34,2,0,4,2,1,3,3,6,1,4,1,3,2,25075
1970,201970,32,1,1,15,2,0,3,3,1,3,1,2,1,5,1,2,2,21322
4887,204887,36,1,1,14,2,1,4,4,0,4,3,3,1,3,1,2,1,24041
2793,202793,30,0,3,9,2,1,4,4,1,3,0,3,0,2,1,2,2,23327
3266,203266,35,0,1,9,2,1,4,4,1,3,3,4,0,4,1,3,2,22711
4470,204470,54,1,1,13,2,1,3,4,1,3,2,4,0,5,1,2,2,21128
4292,204292,35,0,3,26,3,1,4,2,1,3,3,2,1,1,0,1,2,23982
4605,204605,41,0,1,16,3,1,3,4,0,4,1,2,1,4,0,1,1,22295
4027,204027,25,1,1,25,2,1,3,4,0,3,1,2,0,4,0,1,1,21452
3884,203884,37,0,1,11,2,0,4,4,1,4,1,2,0,3,1,2,2,23809
1106,201106,30,1,3,6,2,1,3,4,1,5,1,2,0,4,1,1,2,24714
3802,203802,32,1,3,17,3,0,3,4,1,3,1,4,1,1,0,1,2,25261
2807,202807,34,1,3,12,3,0,3,4,0,3,3,3,1,2,1,1,1,21529
689,200689,20,1,1,10,1,1,2,3,0,5,2,2,0,3,1,1,1,17973
3627,203627,37,1,1,10,2,1,4,2,1,5,1,8,0,1,1,3,2,25520
1686,201686,30,0,3,32,3,0,2,4,1,5,3,6,0,1,1,1,2,21696
4423,204423,34,0,1,13,2,1,2,4,1,3,1,5,0,5,1,1,2,26403
2706,202706,33,1,1,9,1,1,3,5,1,5,2,6,0,4,0,2,2,20854
4136,204136,38,0,1,18,2,1,3,4,3,3,1,3,1,3,1,2,3,30863
3786,203786,35,1,3,11,2,1,4,4,3,3,1,4,1,4,0,3,3,28391
3595,203595,29,1,1,34,3,0,3,6,1,5,1,2,0,4,1,1,2,23886
2805,202805,41,1,1,17,2,0,3,3,0,3,0,5,1,3,0,2,1,20891
1575,201575,59,0,2,8,2,0,2,4,2,3,1,1,0,1,0,1,4,33844
4828,204828,56,0,3,9,2,0,3,5,0,3,2,2,0,5,0,1,1,32255
3059,203059,28,0,1,10,3,1,3,4,0,3,0,3,0,2,1,1,1,20384
2448,202448,28,1,1,9,3,1,3,4,0,4,0,2,0,5,1,1,1,22146
1350,201350,27,1,3,8,3,0,2,1,1,3,3,1,0,1,0,1,2,21500
1947,201947,50,0,2,9,3,1,3,3,2,4,1,2,0,1,1,2,4,33200
2012,202012,38,1,1,6,2,0,2,3,3,3,3,5,1,1,0,1,3,22861
116,200116,34,1,1,11,3,0,2,4,3,5,3,3,0,2,0,0,3,26631
1701,201701,42,1,1,10,1,1,2,3,2,3,1,2,0,1,0,0,4,34232
4537,204537,31,0,1,12,2,1,4,5,0,3,1,2,0,5,0,1,1,22439
3043,203043,37,1,2,20,2,1,3,4,0,4,0,6,0,3,1,1,1,20821
29,200029,46,1,3,8,3,0,2,3,2,5,2,4,0,2,0,1,4,33947
1836,201836,41,0,3,10,3,1,2,3,1,4,3,2,0,3,1,0,2,24355
3358,203358,56,0,1,15,3,1,3,5,4,4,1,3,1,3,1,2,0,32255
3442,203442,27,1,1,9,3,1,3,5,0,3,3,2,0,3,0,1,1,22582
857,200857,44,1,1,16,2,1,3,3,0,3,2,2,1,3,1,2,1,17936
3513,203513,29,1,1,7,2,1,4,5,0,3,1,3,0,4,0,2,1,20241
217,200217,29,1,1,6,1,1,2,3,0,3,2,1,0,2,0,0,1,17058
2152,202152,32,0,1,6,2,0,3,4,0,4,1,7,0,3,0,2,1,17332
4520,204520,35,0,1,23,2,0,4,5,0,3,2,3,0,5,1,3,1,21231
1282,201282,33,1,1,14,2,1,2,1,0,5,1,7,0,3,1,1,1,18143
2685,202685,33,0,3,33,3,1,4,4,1,3,0,2,0,4,1,3,2,23143
2282,202282,43,0,1,33,2,0,2,3,3,5,1,1,0,4,1,0,3,25820
3713,203713,44,1,2,9,2,1,4,4,0,3,3,2,0,1,0,1,1,22217
3112,203112,29,1,1,16,3,0,4,4,0,3,1,7,0,3,1,2,1,21055
4603,204603,21,1,1,11,1,1,3,4,0,5,3,3,0,3,1,1,1,21651
4400,204400,38,1,3,9,3,1,4,4,1,3,1,6,1,3,0,3,2,28280
