Unnamed: 0,CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
3180,203180,49,1,1,11,2,1,4,5,3,3,2,2,0,5,1,2,3,29677
74,200074,36,1,1,12,2,0,2,2,1,3,0,4,0,2,0,0,2,18038
4301,204301,41,1,3,9,3,0,3,4,1,4,1,2,0,1,0,1,2,24393
3099,203099,34,1,2,10,2,1,3,4,0,4,1,5,1,5,0,2,1,20955
2726,202726,30,0,3,9,2,1,3,4,1,3,3,3,0,2,0,1,2,23232
311,200311,45,0,1,13,2,1,3,3,3,5,1,2,0,2,1,2,3,20210
4197,204197,56,1,1,27,1,1,3,4,1,3,1,5,1,1,0,1,2,24093
2197,202197,18,0,1,11,2,1,3,3,0,3,2,2,0,1,0,1,1,16051
4218,204218,40,1,1,7,3,1,3,2,3,3,1,2,0,3,1,1,3,28291
2032,202032,33,1,1,6,2,1,3,3,0,3,2,2,1,3,1,0,1,17686
4252,204252,31,1,3,12,3,0,2,5,1,3,1,3,0,1,1,1,2,24796
3271,203271,29,0,1,13,2,1,3,5,0,3,1,3,1,4,1,1,1,21381
2332,202332,44,0,1,23,2,1,3,5,0,3,2,3,0,4,1,1,1,17290
83,200083,38,0,1,12,3,0,3,5,1,3,1,1,1,2,0,2,2,20329
2222,202222,36,1,1,22,2,0,2,1,0,5,2,2,0,1,1,0,1,17743
1907,201907,30,1,3,13,3,1,2,3,0,4,2,1,0,1,0,0,1,17983
273,200273,37,1,3,12,3,1,3,3,1,3,0,5,0,3,0,0,2,21502
4266,204266,49,1,3,36,3,0,4,4,3,3,1,5,0,4,0,2,3,31182
3857,203857,26,1,1,9,2,1,3,4,0,3,1,8,1,5,0,1,1,22655
3503,203503,36,1,3,14,2,1,4,4,0,3,0,3,0,3,1,1,1,21082
2505,202505,39,0,1,36,2,0,3,4,1,3,2,3,0,3,1,1,2,21084
1985,201985,35,0,1,9,2,1,2,4,0,3,1,2,0,1,1,1,1,16281
110,200110,51,0,1,6,3,0,1,4,3,5,3,4,0,2,1,0,3,22484
1956,201956,37,1,3,8,3,1,3,3,1,3,1,5,1,3,0,2,2,24602
4529,204529,28,0,1,10,3,1,3,4,0,3,1,3,0,1,0,1,1,20384
2358,202358,35,0,3,14,3,0,3,4,3,3,1,5,1,5,1,2,3,25377
3585,203585,31,1,1,14,3,1,3,5,0,4,1,3,0,5,0,1,1,20819
1312,201312,31,1,2,24,2,1,2,1,0,5,1,1,0,1,1,0,1,17956
3694,203694,30,0,1,7,2,1,4,2,1,3,3,2,1,3,0,2,2,24972
1908,201908,35,1,1,22,2,1,3,3,3,3,1,5,1,1,0,0,3,22632
4132,204132,46,0,3,13,3,0,3,5,3,3,3,8,0,4,1,1,3,27543
4790,204790,21,1,3,28,3,1,3,2,0,3,3,3,0,3,1,2,1,21356
545,200545,30,1,3,33,3,1,2,3,1,3,1,1,0,3,1,0,2,20304
4273,204273,37,0,3,10,3,1,3,5,3,3,1,6,0,1,0,1,3,28377
4458,204458,48,0,3,10,3,0,3,4,4,3,1,2,1,5,1,1,0,32448
3868,203868,36,1,1,16,3,1,3,4,1,3,3,3,0,4,0,2,2,23776
1377,201377,49,0,1,8,2,1,2,3,2,3,1,4,0,3,1,0,4,34161
2164,202164,33,1,1,6,2,0,2,4,1,3,3,1,0,4,1,1,2,21949
2593,202593,20,1,1,10,3,0,4,4,0,4,2,3,0,3,1,3,1,20161
4559,204559,30,1,3,7,3,0,3,5,0,3,1,8,1,1,1,2,1,21478
2710,202710,32,1,1,30,3,1,4,5,1,3,0,2,0,3,1,2,2,24260
2065,202065,58,1,1,8,2,1,2,3,2,4,2,1,1,3,1,0,4,34246
3373,203373,29,0,1,9,2,1,3,5,0,3,0,3,1,4,1,1,1,22545
4083,204083,33,1,1,13,2,1,3,4,0,3,3,5,0,1,0,2,1,21716
1621,201621,35,1,3,6,3,1,3,3,3,4,1,2,0,4,0,0,3,22295
1911,201911,42,0,1,11,2,1,3,3,0,3,1,5,0,3,0,1,1,17093
348,200348,42,1,1,29,2,0,2,3,4,3,2,3,0,3,0,0,0,30992
901,200901,48,1,1,8,1,1,3,1,0,4,2,6,0,2,0,2,1,17559
339,200339,27,1,3,14,3,0,2,3,1,4,0,2,0,2,0,0,2,21214
2940,202940,22,1,3,29,1,1,3,4,0,3,3,3,0,2,1,2,1,22125
780,200780,28,0,1,30,1,1,3,4,3,5,3,2,0,2,0,0,3,23722
2830,202830,38,1,1,21,2,0,4,4,0,5,1,3,0,4,1,1,1,21712
1515,201515,41,1,1,18,1,0,2,3,2,3,1,2,0,4,1,1,4,34545
2191,202191,50,1,1,30,2,1,3,3,4,3,1,4,1,4,1,2,0,28973
4671,204671,35,1,3,7,3,1,4,2,1,3,1,2,0,5,0,2,2,28403
3175,203175,21,1,1,18,3,0,4,5,0,5,3,3,1,3,0,2,1,21278
1504,201504,24,1,1,6,3,1,3,3,0,3,1,3,1,3,0,2,1,17293
1845,201845,49,1,1,13,2,1,2,4,3,3,3,1,0,1,1,0,3,25965
529,200529,38,1,1,6,2,0,2,2,1,3,3,1,0,2,1,1,2,22625
4501,204501,53,1,1,18,2,0,3,4,1,3,1,2,0,1,1,1,2,21827
3696,203696,35,1,1,9,3,1,4,2,0,3,1,2,1,1,0,2,1,21610
3968,203968,27,1,3,30,3,0,3,5,1,3,1,2,1,1,0,1,2,22835
635,200635,35,1,1,15,2,0,3,4,3,3,0,2,1,4,1,1,3,25685
3230,203230,28,0,1,15,2,1,3,6,0,3,0,3,0,2,1,2,1,23299
2317,202317,34,0,1,7,3,1,3,4,1,5,2,1,0,1,0,0,2,20343
4416,204416,54,1,3,7,3,0,3,4,1,5,3,2,0,1,1,2,2,27059
1579,201579,22,1,1,21,3,0,2,3,0,3,2,2,0,1,1,1,1,17871
3209,203209,39,0,1,10,2,1,3,4,0,3,0,5,0,3,1,2,1,21499
1075,201075,32,1,1,16,3,1,1,3,3,3,3,3,0,1,0,0,3,26244
626,200626,32,1,1,14,3,0,3,1,1,3,0,6,0,3,1,2,2,20175
3565,203565,37,1,3,7,2,0,4,4,1,3,3,8,0,1,1,2,2,25493
3546,203546,37,1,3,9,2,1,4,4,0,3,3,5,1,3,0,1,1,21322
687,200687,36,1,1,8,3,1,3,3,0,3,2,5,0,5,1,0,1,17519
697,200697,29,0,3,26,1,0,2,3,0,3,0,2,0,3,0,1,1,17157
1743,201743,37,1,3,12,3,1,3,3,1,3,1,5,0,3,1,0,2,21502
2184,202184,50,1,1,6,3,1,3,3,4,3,1,1,0,5,0,2,0,32399
758,200758,59,1,3,6,1,1,3,3,3,3,0,4,1,2,0,1,3,26904
551,200551,39,1,2,9,2,0,2,2,1,4,0,1,0,2,1,0,2,21389
2440,202440,27,0,1,30,2,1,3,4,0,3,2,2,1,3,1,1,1,17534
270,200270,55,1,1,6,3,1,2,3,2,5,2,1,1,2,1,0,4,34045
3636,203636,50,1,1,23,3,0,4,4,0,5,1,6,1,1,1,2,1,21265
4048,204048,27,1,2,32,2,0,4,4,0,3,1,3,0,4,1,2,1,21620
932,200932,29,1,1,13,1,0,2,3,0,3,1,4,1,4,1,1,1,18339
4140,204140,38,0,3,11,3,1,3,4,0,3,1,6,0,4,1,1,1,21471
258,200258,51,1,1,6,2,1,3,3,0,3,0,2,0,4,1,0,1,17723
4702,204702,29,1,1,17,2,0,3,4,1,3,3,5,0,4,0,2,2,22338
1926,201926,31,1,3,13,2,1,2,4,3,3,1,1,0,3,1,0,3,26557
2930,202930,38,1,3,9,3,1,4,4,1,3,0,6,1,3,0,2,2,28280
2481,202481,36,1,3,9,3,0,4,4,0,3,0,3,0,2,1,1,1,20692
2854,202854,31,1,1,9,2,0,3,6,1,3,3,4,0,2,0,2,2,24769
4210,204210,19,1,1,10,3,1,3,4,0,3,2,3,0,4,1,1,1,20098
2306,202306,29,1,3,29,2,0,2,4,3,5,1,2,0,3,1,1,3,22336
2157,202157,36,1,1,8,3,1,3,3,0,3,2,5,0,5,1,1,1,17519
3586,203586,46,1,1,12,3,0,3,6,1,5,3,3,1,3,1,1,2,24447
2048,202048,38,0,1,8,2,0,3,1,1,5,2,7,1,1,0,0,2,20980
1465,201465,36,0,1,29,3,1,2,1,1,3,1,5,0,3,0,0,2,17571
3304,203304,23,0,1,10,2,1,3,5,0,3,0,2,1,3,0,1,1,21531
1314,201314,45,0,3,8,2,0,3,3,1,3,1,5,0,1,1,2,2,20154
665,200665,47,1,3,8,2,0,3,4,0,3,2,2,1,2,1,0,1,18294
1847,201847,36,1,1,8,2,0,3,3,0,3,1,5,0,5,1,0,1,17543
2094,202094,53,1,3,13,3,0,3,4,3,3,1,1,1,1,0,1,3,25934
1027,201027,34,1,1,6,2,0,2,4,0,4,0,6,0,1,1,1,1,18294
3440,203440,28,1,3,17,3,0,4,5,1,3,0,3,1,3,1,3,2,24447
1792,201792,32,1,1,8,3,0,3,1,1,3,2,1,0,3,0,0,2,20055
1811,201811,38,1,1,21,2,1,3,4,3,3,1,1,1,5,1,2,3,26510
1619,201619,19,1,1,9,3,0,3,3,0,4,2,2,0,3,1,0,1,16483
722,200722,38,0,1,16,3,1,3,3,0,3,0,1,0,5,0,2,1,17684
3063,203063,34,1,3,7,3,1,3,2,1,5,1,3,0,4,0,1,2,22715
4447,204447,41,0,3,12,2,1,3,5,3,5,1,7,1,5,0,1,3,29153
4588,204588,59,1,1,12,1,0,3,5,3,4,1,4,1,5,1,2,3,29230
3608,203608,41,1,1,23,2,0,3,4,3,3,3,8,1,4,1,1,3,26623
0,200000,41,1,3,6,2,0,3,3,1,3,2,1,1,2,1,0,2,20993
2102,202102,42,0,1,8,3,1,2,3,0,3,2,6,1,1,1,1,1,17515
1889,201889,30,0,1,9,2,1,2,3,0,3,1,5,0,3,1,0,1,17097
4735,204735,50,1,3,15,1,1,3,5,4,4,1,8,0,4,1,2,0,31798
3411,203411,41,1,1,7,2,1,3,4,0,4,0,5,0,1,1,2,1,21065
4597,204597,26,1,3,26,3,1,3,5,0,4,1,3,1,1,0,2,1,21091
4873,204873,41,1,3,14,3,1,3,4,0,4,3,3,0,5,0,1,1,23339
1284,201284,39,1,1,16,3,1,3,3,3,3,3,1,0,3,1,0,3,28464
303,200303,31,1,3,13,1,1,3,2,1,3,0,5,0,2,1,0,2,21929
1961,201961,43,0,1,15,3,1,3,3,1,3,1,4,1,3,1,2,2,20679
3693,203693,30,1,3,16,3,0,3,6,0,4,3,3,0,1,1,2,1,21438
1438,201438,23,0,3,15,3,1,2,3,0,5,1,2,0,5,1,0,1,16790
3613,203613,28,1,1,15,3,0,3,2,0,3,1,2,0,4,0,1,1,22195
3075,203075,45,1,1,15,2,1,4,2,0,3,0,4,1,3,1,3,1,21496
3007,203007,26,1,3,33,3,0,3,4,1,3,3,3,0,4,0,1,2,24858
4338,204338,58,1,3,36,3,1,3,5,4,3,1,5,0,3,1,1,0,32796
4424,204424,55,1,2,26,3,1,3,4,3,4,1,4,0,3,1,2,3,29403
3105,203105,44,1,1,15,2,0,3,4,1,4,1,6,0,3,1,1,2,23443
2673,202673,30,1,1,25,3,1,3,5,0,3,2,3,1,3,0,2,1,21067
3990,203990,36,1,3,7,3,1,3,5,1,5,3,2,0,1,1,2,2,22990
2644,202644,28,0,1,7,1,1,3,5,1,5,0,7,0,3,0,2,2,22976
817,200817,36,0,1,24,2,1,3,3,1,3,3,3,0,3,1,0,2,22779
2625,202625,35,1,1,34,3,0,4,4,0,4,2,4,0,3,1,1,1,20989
3689,203689,25,0,2,17,3,1,3,4,0,3,1,2,0,4,1,2,1,20823
4879,204879,26,1,2,27,3,0,4,4,0,4,1,2,1,3,0,2,1,22347
1720,201720,37,0,1,16,3,1,3,3,3,3,1,7,0,3,0,2,3,25048
1483,201483,34,1,1,25,3,1,3,3,0,3,1,1,0,3,0,0,1,17661
218,200218,45,0,3,12,3,0,2,4,3,3,3,7,0,4,1,0,3,23865
343,200343,29,1,3,16,3,0,2,4,1,4,1,2,1,5,0,1,2,23268
1219,201219,29,1,1,15,3,0,2,3,0,3,1,1,0,5,1,1,1,17974
2996,202996,57,1,1,16,3,1,3,4,4,3,0,2,0,4,0,1,0,29781
4451,204451,28,0,1,17,2,1,3,4,3,5,1,3,0,3,0,2,3,27471
1912,201912,36,0,3,16,3,1,2,3,3,3,3,2,0,1,1,1,3,24980
1301,201301,58,0,3,8,3,1,2,3,4,4,1,5,0,4,1,0,0,17705
4422,204422,36,1,1,13,2,1,3,6,1,3,3,3,0,5,0,2,2,25324
4712,204712,34,1,1,32,3,1,3,5,0,4,2,6,1,4,1,1,1,20991
3664,203664,37,1,3,9,2,0,3,4,1,3,3,5,0,4,1,2,2,23180
871,200871,24,1,1,23,2,0,3,3,0,4,0,2,0,2,0,1,1,17210
2922,202922,26,1,3,20,3,1,3,4,0,3,0,3,0,3,1,1,1,20774
4383,204383,33,0,3,18,2,1,3,2,1,3,1,2,0,3,1,1,2,23385
516,200516,23,1,1,10,3,1,2,2,0,5,0,3,0,4,0,1,1,17819
4639,204639,36,1,1,21,2,1,3,5,0,4,1,3,1,5,1,2,1,22421
269,200269,36,1,1,12,2,1,2,3,0,3,0,1,0,5,1,1,1,18210
966,200966,58,1,1,13,3,0,2,4,3,5,0,1,1,4,1,0,3,25008
193,200193,43,0,1,13,3,1,2,2,0,3,1,5,0,4,0,1,1,17089
1419,201419,42,1,1,24,2,1,2,3,1,5,1,7,1,1,0,0,2,20410
1261,201261,38,1,1,24,3,1,2,5,1,3,1,4,1,5,0,1,2,20811
3902,203902,36,1,1,7,2,0,4,6,0,3,1,3,0,3,0,2,1,21655
1375,201375,32,0,1,11,2,0,2,1,0,3,2,4,1,1,0,1,1,17432
1431,201431,32,1,3,6,3,0,2,3,3,3,1,2,0,5,1,0,3,25422
1676,201676,22,1,1,11,2,1,2,1,0,4,1,2,1,4,1,0,1,17328
4455,204455,37,0,1,15,2,0,4,2,3,5,1,2,0,3,0,2,3,30391
3030,203030,25,0,1,16,2,1,3,5,0,4,1,3,0,5,1,1,1,21372
916,200916,46,1,3,10,3,0,2,4,2,4,0,3,0,5,1,0,4,33789
1512,201512,26,1,1,31,2,1,2,5,0,3,2,2,0,1,0,0,1,17293
2568,202568,32,1,3,13,2,1,4,6,1,3,0,6,1,3,1,2,2,24850
2277,202277,38,1,3,16,3,1,3,4,3,3,1,1,1,3,1,1,3,23740
2140,202140,27,1,1,10,2,0,3,3,0,3,2,2,0,1,0,0,1,17318
4653,204653,28,1,1,9,2,0,3,4,1,3,1,2,0,5,1,1,2,22905
558,200558,32,0,1,30,2,1,3,3,1,3,0,2,0,4,1,0,2,20309
1903,201903,46,1,3,16,3,0,3,4,3,3,1,3,1,1,0,0,3,24071
470,200470,24,0,3,30,3,1,2,3,0,3,0,1,0,4,0,1,1,17400
1839,201839,31,1,1,15,2,1,2,4,0,4,2,1,1,3,1,0,1,17657
3766,203766,47,1,1,9,2,1,3,4,3,3,1,5,0,1,1,2,3,27256
4384,204384,25,0,3,31,3,1,3,4,0,3,1,2,0,4,1,2,1,21078
3221,203221,22,1,1,17,2,0,3,5,0,5,2,3,0,3,1,1,1,20094
4086,204086,37,0,1,10,3,1,2,4,0,4,2,6,0,4,1,1,1,20766
884,200884,40,1,3,16,1,0,2,4,1,4,1,1,0,5,1,0,2,21852
4541,204541,53,0,1,32,3,0,3,5,4,3,1,5,0,5,0,2,0,32504
811,200811,38,1,3,8,3,1,2,3,3,4,3,1,0,4,1,0,3,22351
1732,201732,32,1,1,8,1,1,2,4,1,5,2,5,0,4,0,1,2,17176
1191,201191,31,1,3,11,2,0,3,3,1,3,1,2,0,1,0,2,2,20476
1577,201577,25,1,3,11,3,1,2,4,1,3,2,2,1,3,0,1,2,20744
3739,203739,42,1,3,11,3,0,3,4,3,3,1,2,1,1,0,2,3,29125
4672,204672,60,1,3,7,1,1,4,4,3,3,1,5,1,1,1,1,3,30582
302,200302,28,1,1,22,3,1,3,2,1,5,2,1,0,5,0,2,2,20661
1181,201181,49,1,1,12,2,0,2,4,4,3,1,3,1,5,1,0,0,28966
4280,204280,42,0,3,11,3,1,3,4,1,4,3,3,0,3,1,1,2,28033
3056,203056,29,1,3,9,3,0,3,4,1,4,0,3,1,3,1,1,2,23457
3568,203568,40,1,3,13,3,1,3,2,3,3,1,4,0,4,1,2,3,26915
2570,202570,59,1,1,30,3,0,4,4,3,3,0,3,0,3,1,1,3,28990
4584,204584,28,1,1,11,2,0,4,4,0,3,2,3,0,1,0,1,1,20996
2635,202635,28,1,1,16,3,0,3,4,0,4,2,3,0,3,1,1,1,20957
4626,204626,34,1,1,20,2,0,3,4,0,3,3,5,0,3,1,1,1,22130
678,200678,48,1,1,26,3,1,2,3,0,3,0,5,0,2,0,0,1,17259
2913,202913,33,0,3,18,2,1,3,3,1,3,0,2,0,3,1,2,2,23385
1446,201446,34,1,3,34,3,0,3,4,1,3,1,2,0,5,1,0,2,21712
3116,203116,43,1,3,21,3,0,4,5,1,3,3,2,0,3,0,1,2,24922
316,200316,49,1,1,6,1,0,2,4,4,3,2,1,1,3,1,0,0,28964
4759,204759,41,0,1,33,3,0,4,5,1,3,1,5,1,1,0,2,2,23100
2961,202961,26,1,3,15,2,1,3,3,1,4,0,2,0,4,0,1,2,23529
1189,201189,33,1,3,8,3,1,3,3,1,3,1,2,0,3,1,1,2,20505
770,200770,46,1,1,6,3,1,2,3,2,3,1,1,0,5,1,1,4,34627
1310,201310,58,0,1,21,2,1,2,3,4,3,1,3,1,1,1,0,0,30787
3617,203617,37,1,1,12,2,0,3,4,3,5,1,6,0,4,1,2,3,26686
271,200271,47,0,1,35,2,1,2,3,3,4,0,2,1,3,1,0,3,26849
4571,204571,30,1,1,14,3,0,4,5,0,3,1,8,0,5,1,2,1,21210
605,200605,38,0,1,18,2,1,2,4,1,5,1,3,0,5,1,0,2,21288
2990,202990,30,1,3,17,2,1,3,4,0,3,3,3,0,4,0,1,1,21320
3562,203562,27,1,1,10,2,0,3,4,0,3,1,3,0,3,1,2,1,20739
315,200315,43,0,1,16,2,0,2,3,0,3,2,1,0,5,0,1,1,17455
4546,204546,43,0,1,9,3,1,3,4,0,3,2,7,1,1,1,2,1,21193
480,200480,30,0,3,18,2,1,3,4,0,5,0,2,0,5,1,0,1,17033
1083,201083,40,1,1,15,2,1,2,3,0,5,2,4,0,1,1,1,1,17018
3278,203278,35,1,3,16,2,0,4,4,1,3,0,3,0,2,1,3,2,24392
4749,204749,36,1,2,15,1,1,4,4,0,3,3,3,0,5,0,2,1,23001
4534,204534,36,1,1,34,3,0,3,5,0,5,2,3,0,4,0,2,1,21237
2220,202220,44,1,3,34,3,0,2,1,4,3,1,4,1,1,1,0,0,28320
3882,203882,24,0,3,16,3,1,3,4,0,5,1,3,0,5,1,1,1,20468
4076,204076,29,1,1,28,3,1,3,4,0,3,1,3,0,1,0,1,1,21391
4536,204536,33,1,3,20,2,1,4,4,1,3,1,4,0,1,0,3,2,23081
4146,204146,60,1,2,13,3,1,3,4,0,3,1,2,0,4,0,1,1,20945
3414,203414,28,1,3,18,3,0,4,2,0,3,0,2,0,3,1,2,1,21212
3687,203687,46,1,2,11,2,0,3,6,3,3,1,6,0,1,1,2,3,28434
4420,204420,38,1,1,10,2,1,3,4,3,3,1,3,0,1,1,1,3,28112
1572,201572,20,0,1,12,2,0,3,4,0,3,2,2,1,1,0,0,1,17926
636,200636,35,0,1,31,2,0,3,3,0,4,1,2,1,3,0,0,1,17022
8,200008,38,0,1,29,2,1,2,4,3,3,3,1,0,3,0,0,3,24526
3834,203834,29,1,1,24,1,1,3,5,0,3,1,7,0,3,0,2,1,21045
3184,203184,36,1,1,17,2,1,3,4,0,3,1,3,0,5,1,1,1,22595
4654,204654,36,1,1,17,2,1,3,4,0,3,1,3,0,5,0,1,1,22595
2730,202730,45,0,1,31,2,1,3,4,0,3,1,5,1,5,0,2,1,21839
4408,204408,35,1,3,21,1,0,3,4,0,3,1,3,1,5,1,1,1,21257
4743,204743,34,1,3,16,3,0,4,4,1,5,3,2,1,3,0,1,2,26902
3527,203527,41,1,1,16,2,1,3,4,0,5,2,5,0,1,1,2,1,20696
855,200855,37,1,1,6,2,0,2,4,1,3,0,2,0,2,1,1,2,21474
4290,204290,52,1,3,21,2,0,3,4,1,3,1,6,0,3,1,1,2,23614
4517,204517,46,1,1,9,2,0,4,5,0,3,2,3,0,3,1,1,1,20952
1295,201295,41,1,3,10,3,0,2,3,3,3,1,1,1,1,0,1,3,25447
1705,201705,43,1,3,22,3,0,3,3,4,3,1,6,1,3,0,0,0,31064
81,200081,35,1,1,6,3,1,1,4,0,3,2,2,0,4,1,0,1,17859
2011,202011,36,0,1,14,2,0,3,1,3,5,1,1,0,3,0,1,3,26713
3849,203849,32,0,1,17,3,0,3,4,3,3,1,6,0,1,1,2,3,29709
2337,202337,50,0,1,8,3,0,1,3,4,5,1,3,0,3,0,0,0,32856
2198,202198,54,1,1,23,1,0,2,3,3,3,1,1,0,5,0,0,3,25739
856,200856,20,1,1,9,2,1,2,4,0,3,2,2,0,3,0,1,1,18033
2859,202859,35,0,3,13,3,0,3,6,0,3,1,2,0,4,1,2,1,21029
992,200992,39,0,1,31,2,1,3,3,3,3,0,4,0,1,0,0,3,25920
3425,203425,36,0,3,25,3,0,4,4,1,3,0,2,1,5,1,3,2,23292
4485,204485,27,0,1,7,2,0,4,6,0,3,1,5,0,4,1,1,1,23042
3641,203641,21,1,3,16,2,1,3,4,0,5,3,3,0,1,0,2,1,21406
1713,201713,40,1,1,30,1,1,3,3,1,3,1,2,0,3,1,1,2,18319
3544,203544,36,1,3,35,2,0,4,5,0,3,1,2,0,4,1,3,1,21108
3065,203065,37,1,3,7,2,1,3,4,1,3,0,3,1,3,1,2,2,24879
3052,203052,56,1,3,9,3,1,3,4,1,3,3,6,0,2,0,2,2,23838
1128,201128,36,0,1,12,2,1,3,1,1,5,1,4,1,4,1,1,2,20562
1395,201395,31,0,3,32,3,1,3,3,1,3,1,2,1,3,0,1,2,20617
476,200476,24,1,1,23,2,1,3,4,0,4,0,2,0,3,1,1,1,17127
3592,203592,40,1,1,17,3,1,4,4,1,5,1,4,0,5,1,3,2,24055
3531,203531,35,1,3,14,1,1,3,4,0,3,1,2,1,1,0,2,1,20986
3124,203124,37,1,1,14,2,1,4,4,0,3,3,4,0,3,0,3,1,23356
37,200037,35,1,3,8,3,0,3,3,0,3,0,2,0,2,1,0,1,17014
2833,202833,38,1,1,17,2,1,3,4,1,4,3,4,1,5,0,2,2,22875
3165,203165,51,1,1,31,2,1,4,4,4,3,0,5,1,4,0,1,0,32651
3632,203632,30,1,3,12,3,1,3,5,1,4,1,3,1,5,0,1,2,22865
768,200768,40,1,3,32,3,1,3,3,1,5,0,2,0,2,1,1,2,23396
711,200711,29,1,1,16,2,0,3,4,0,5,2,7,1,5,1,1,1,17404
425,200425,50,1,1,35,2,1,2,4,4,3,0,1,0,5,1,1,0,32046
2561,202561,37,0,3,18,1,0,4,4,3,3,0,2,0,5,0,1,3,28416
2790,202790,42,1,1,13,3,1,4,5,1,4,3,8,1,3,1,1,2,24710
4433,204433,30,0,1,7,2,1,4,6,0,3,1,3,0,1,0,3,1,21398
4231,204231,53,1,1,15,3,1,3,5,1,4,1,4,0,1,1,1,2,23619
3742,203742,47,1,1,28,3,0,4,4,1,4,1,6,0,3,1,3,2,27604
2599,202599,30,0,1,7,1,1,3,4,1,3,0,3,0,3,0,2,2,22997
1671,201671,49,0,1,24,2,1,3,3,1,3,1,2,1,1,0,0,2,21804
3331,203331,43,0,1,33,3,0,3,4,3,5,0,5,1,3,0,2,3,31869
2743,202743,52,1,1,9,3,1,3,6,1,4,1,7,0,2,0,1,2,24160
2545,202545,33,1,1,7,2,1,4,4,0,5,3,3,0,2,0,3,1,21634
3906,203906,40,1,3,31,3,0,3,5,4,3,1,2,0,1,1,2,0,30709
3217,203217,37,1,1,19,3,0,3,5,3,3,3,2,0,2,1,1,3,27536
3921,203921,31,1,1,31,2,1,4,4,0,3,1,3,0,3,1,3,1,21371
1237,201237,32,1,3,6,2,1,2,5,1,4,3,7,0,3,0,1,2,21735
660,200660,58,0,1,8,2,1,2,4,0,3,1,1,1,2,0,0,1,17380
219,200219,54,1,3,9,3,0,2,3,1,5,0,3,0,4,1,1,2,20940
528,200528,50,0,3,14,1,1,2,3,1,3,0,4,1,5,1,0,2,21796
2391,202391,28,1,1,14,2,0,2,4,0,4,2,2,0,4,0,1,1,17154
4047,204047,42,1,3,16,2,1,4,4,3,3,1,5,1,1,0,2,3,26867
2657,202657,52,1,1,15,2,1,3,5,3,4,0,7,0,3,1,2,3,31168
714,200714,50,1,1,6,3,1,3,3,4,3,1,1,0,5,0,2,0,32399
2971,202971,33,1,3,17,3,1,3,4,1,3,3,3,0,4,0,2,2,24074
355,200355,26,1,3,6,2,1,2,3,1,3,0,2,0,5,1,0,2,20296
1648,201648,46,1,3,6,3,0,3,3,3,5,1,2,0,1,1,2,3,25453
2247,202247,21,1,1,16,2,0,2,4,0,5,2,2,0,3,0,1,1,16416
4445,204445,33,1,1,10,2,0,3,4,3,3,2,5,0,1,1,1,3,29837
2777,202777,44,1,1,14,2,0,3,4,3,5,0,2,0,5,1,1,3,28663
2085,202085,27,0,1,9,3,1,2,3,0,3,1,2,0,1,0,0,1,16706
